https://www.youtube.com/watch?v=V7eZeiRUYCc,Cientista político analisa rescaldo da vitória de Lula e derrota de Bolsonaro | DIÁLOGO - 14/11/22,1852;
https://www.youtube.com/watch?v=GDeIdIVvW8k,Papo com Palestrante #164 - Rubens Figueiredo,1933;
https://www.youtube.com/watch?v=oPrBtX3hR6E,COMO FICA O CENÁRIO POLÍTICO SEM BOLSONARO? | DIÁLOGO - 10/07/2023,1943;
https://www.youtube.com/watch?v=p3jd1iz959g,Diálogos no Espaço Democrático: Contaminação pelo coronavírus no Brasil pode ser até 4 vezes maior,2039;
https://www.youtube.com/watch?v=YCZ7s7OYAPw,30/5/2018 - AFIF E OS CAMINHOS PARA UM BRASIL MELHOR,2209;
https://www.youtube.com/watch?v=ThIIOSB2TCg,30/5/2018 - AFIF: CAMINHOS PARA UM BRASIL MELHOR,2209;
https://www.youtube.com/watch?v=Kw0O4UT6caI,Diálogo Empreendedor com Rubens Figueiredo,2456;
https://www.youtube.com/watch?v=zHafdfm0EgU,Entrevista com o tradutor Rubens Figueiredo!,2503;
https://www.youtube.com/watch?v=V2nZsrBnsoM,Hora do Voto - Eleições 2018 - Maria Lydia entrevista Aldo Fornazieri e Rubens Figueiredo,2550;
https://www.youtube.com/watch?v=Rr_uh0sxXEI,CAFÉ COM POLITICA EDIÇÃO 152,2880;
https://www.youtube.com/watch?v=CVhoJdDyY2c,Identitarismo agressivo constrange críticas de acadêmicos,3009;
https://www.youtube.com/watch?v=qUgWqzfCB4w,Gente Que Fala 11.04.2019,3486;
"https://www.youtube.com/watch?v=Z_QmxtMcams,""#PraCimaDeles com Rubens Figueiredo, Tiago Mitraud e Fernando Conrado - 29/11/19"",3582;",,
https://www.youtube.com/watch?v=5Kkb0VPZvtM,Gente Que Fala 16 04 2020,3687;
https://www.youtube.com/watch?v=nBCcdrBG8C4,Eleições 2022: Balanço e Perspectivas,5406;
https://www.youtube.com/watch?v=paU4tmKQGJI,A Ciência da Política e o Brasileiro Sofredor - Com Rubens Figueiredo,5588;
https://www.youtube.com/watch?v=qaJYCqDEUQ0,O Brasil na Encruzilhada: As Eleições de 2022,5594;
